key,note,key_ascii,scancode,octave,freq [Hz],dphi [float],dphi [bytes]
a,C,61,1C (F01C),4,261.626,0.3488346666666666,016534ea
w,C#,77,1D (F01D),4,277.183,0.3695773333333333,017a727b
s,D,73,1B (F01B),4,293.665,0.39155333333333336,0190f35b
e,D#,65,24 (F024),4,311.127,0.41483600000000004,01a8cac4
d,E,64,23 (F023),4,329.628,0.439504,01c20d56
f,F,66,2B (F02B),4,349.228,0.4656373333333334,01dcd008
t,F#,74,2C (F02C),4,369.994,0.4933253333333334,01f92a46
g,G,67,34 (F034),4,391.995,0.52266,0217342e
y,G#,79,35 (F035),4,415.305,0.55374,0237079e
h,A,68,33 (F033),4,440.0,0.5866666666666667,0258bf25
u,A#,75,3C (F03C),4,466.164,0.621552,027c7820
j,B,6A,3B (F03B),4,493.883,0.6585106666666667,02a2509e
k,C,6B,42 (F042),4,261.626,0.3488346666666666,016534ea
